Week,Digital learning: (United States)
2016-10-02,19
2016-10-09,7
2016-10-16,16
2016-10-23,13
2016-10-30,16
2016-11-06,3
2016-11-13,25
2016-11-20,7
2016-11-27,9
2016-12-04,14
2016-12-11,9
2016-12-18,0
2016-12-25,7
2017-01-01,6
2017-01-08,6
2017-01-15,18
2017-01-22,18
2017-01-29,29
2017-02-05,17
2017-02-12,32
2017-02-19,50
2017-02-26,22
2017-03-05,17
2017-03-12,6
2017-03-19,17
2017-03-26,0
2017-04-02,6
2017-04-09,12
2017-04-16,21
2017-04-23,9
2017-04-30,23
2017-05-07,24
2017-05-14,10
2017-05-21,9
2017-05-28,0
2017-06-04,13
2017-06-11,13
2017-06-18,6
2017-06-25,7
2017-07-02,10
2017-07-09,20
2017-07-16,10
2017-07-23,3
2017-07-30,12
2017-08-06,15
2017-08-13,13
2017-08-20,6
2017-08-27,9
2017-09-03,15
2017-09-10,6
2017-09-17,32
2017-09-24,12
2017-10-01,15
2017-10-08,12
2017-10-15,12
2017-10-22,18
2017-10-29,15
2017-11-05,20
2017-11-12,23
2017-11-19,9
2017-11-26,14
2017-12-03,6
2017-12-10,15
2017-12-17,3
2017-12-24,0
2017-12-31,12
2018-01-07,14
2018-01-14,26
2018-01-21,17
2018-01-28,31
2018-02-04,39
2018-02-11,37
2018-02-18,42
2018-02-25,22
2018-03-04,14
2018-03-11,22
2018-03-18,11
2018-03-25,15
2018-04-01,23
2018-04-08,17
2018-04-15,26
2018-04-22,14
2018-04-29,14
2018-05-06,9
2018-05-13,12
2018-05-20,9
2018-05-27,25
2018-06-03,12
2018-06-10,17
2018-06-17,12
2018-06-24,15
2018-07-01,9
2018-07-08,9
2018-07-15,15
2018-07-22,18
2018-07-29,3
2018-08-05,15
2018-08-12,18
2018-08-19,15
2018-08-26,9
2018-09-02,20
2018-09-09,8
2018-09-16,23
2018-09-23,29
2018-09-30,12
2018-10-07,12
2018-10-14,12
2018-10-21,9
2018-10-28,9
2018-11-04,11
2018-11-11,9
2018-11-18,6
2018-11-25,14
2018-12-02,3
2018-12-09,20
2018-12-16,6
2018-12-23,3
2018-12-30,9
2019-01-06,17
2019-01-13,14
2019-01-20,8
2019-01-27,50
2019-02-03,14
2019-02-10,25
2019-02-17,31
2019-02-24,32
2019-03-03,14
2019-03-10,11
2019-03-17,12
2019-03-24,14
2019-03-31,17
2019-04-07,14
2019-04-14,15
2019-04-21,9
2019-04-28,3
2019-05-05,20
2019-05-12,12
2019-05-19,6
2019-05-26,12
2019-06-02,20
2019-06-09,12
2019-06-16,21
2019-06-23,6
2019-06-30,9
2019-07-07,6
2019-07-14,12
2019-07-21,6
2019-07-28,9
2019-08-04,15
2019-08-11,28
2019-08-18,9
2019-08-25,22
2019-09-01,11
2019-09-08,19
2019-09-15,13
2019-09-22,11
2019-09-29,8
2019-10-06,8
2019-10-13,11
2019-10-20,8
2019-10-27,18
2019-11-03,13
2019-11-10,10
2019-11-17,16
2019-11-24,3
2019-12-01,13
2019-12-08,31
2019-12-15,21
2019-12-22,6
2019-12-29,3
2020-01-05,21
2020-01-12,12
2020-01-19,23
2020-01-26,13
2020-02-02,18
2020-02-09,13
2020-02-16,15
2020-02-23,37
2020-03-01,14
2020-03-08,52
2020-03-15,100
2020-03-22,88
2020-03-29,72
2020-04-05,66
2020-04-12,69
2020-04-19,53
2020-04-26,64
2020-05-03,38
2020-05-10,57
2020-05-17,41
2020-05-24,21
2020-05-31,39
2020-06-07,28
2020-06-14,29
2020-06-21,24
2020-06-28,23
2020-07-05,35
2020-07-12,48
2020-07-19,65
2020-07-26,53
2020-08-02,73
2020-08-09,80
2020-08-16,89
2020-08-23,86
2020-08-30,57
2020-09-06,50
2020-09-13,57
2020-09-20,35
2020-09-27,30
2020-10-04,36
2020-10-11,8
2020-10-18,14
2020-10-25,17
2020-11-01,19
2020-11-08,13
2020-11-15,11
2020-11-22,11
2020-11-29,21
2020-12-06,19
2020-12-13,11
2020-12-20,6
2020-12-27,6
2021-01-03,16
2021-01-10,21
2021-01-17,19
2021-01-24,27
2021-01-31,8
2021-02-07,22
2021-02-14,6
2021-02-21,14
2021-02-28,11
2021-03-07,19
2021-03-14,13
2021-03-21,22
2021-03-28,6
2021-04-04,8
2021-04-11,8
2021-04-18,17
2021-04-25,14
2021-05-02,8
2021-05-09,14
2021-05-16,17
2021-05-23,14
2021-05-30,11
2021-06-06,14
2021-06-13,14
2021-06-20,9
2021-06-27,8
2021-07-04,9
2021-07-11,11
2021-07-18,9
2021-07-25,31
2021-08-01,9
2021-08-08,26
2021-08-15,11
2021-08-22,23
2021-08-29,9
2021-09-05,15
2021-09-12,23
2021-09-19,12
