Week,E-Learning: (United States)
2016-10-02,40
2016-10-09,46
2016-10-16,50
2016-10-23,50
2016-10-30,42
2016-11-06,36
2016-11-13,39
2016-11-20,29
2016-11-27,43
2016-12-04,45
2016-12-11,33
2016-12-18,22
2016-12-25,11
2017-01-01,24
2017-01-08,37
2017-01-15,35
2017-01-22,48
2017-01-29,45
2017-02-05,44
2017-02-12,41
2017-02-19,43
2017-02-26,38
2017-03-05,39
2017-03-12,30
2017-03-19,41
2017-03-26,41
2017-04-02,33
2017-04-09,40
2017-04-16,39
2017-04-23,45
2017-04-30,34
2017-05-07,33
2017-05-14,21
2017-05-21,24
2017-05-28,24
2017-06-04,28
2017-06-11,28
2017-06-18,27
2017-06-25,24
2017-07-02,23
2017-07-09,21
2017-07-16,28
2017-07-23,27
2017-07-30,30
2017-08-06,24
2017-08-13,26
2017-08-20,48
2017-08-27,45
2017-09-03,39
2017-09-10,41
2017-09-17,52
2017-09-24,49
2017-10-01,47
2017-10-08,46
2017-10-15,39
2017-10-22,39
2017-10-29,42
2017-11-05,39
2017-11-12,41
2017-11-19,30
2017-11-26,37
2017-12-03,44
2017-12-10,33
2017-12-17,28
2017-12-24,11
2017-12-31,20
2018-01-07,38
2018-01-14,34
2018-01-21,35
2018-01-28,35
2018-02-04,39
2018-02-11,40
2018-02-18,35
2018-02-25,35
2018-03-04,28
2018-03-11,27
2018-03-18,32
2018-03-25,31
2018-04-01,38
2018-04-08,34
2018-04-15,32
2018-04-22,32
2018-04-29,34
2018-05-06,21
2018-05-13,26
2018-05-20,27
2018-05-27,24
2018-06-03,28
2018-06-10,25
2018-06-17,26
2018-06-24,21
2018-07-01,18
2018-07-08,26
2018-07-15,21
2018-07-22,25
2018-07-29,22
2018-08-05,23
2018-08-12,23
2018-08-19,40
2018-08-26,34
2018-09-02,34
2018-09-09,37
2018-09-16,41
2018-09-23,37
2018-09-30,38
2018-10-07,40
2018-10-14,37
2018-10-21,37
2018-10-28,37
2018-11-04,39
2018-11-11,30
2018-11-18,20
2018-11-25,30
2018-12-02,30
2018-12-09,32
2018-12-16,24
2018-12-23,14
2018-12-30,13
2019-01-06,31
2019-01-13,34
2019-01-20,31
2019-01-27,41
2019-02-03,35
2019-02-10,40
2019-02-17,35
2019-02-24,32
2019-03-03,33
2019-03-10,28
2019-03-17,28
2019-03-24,29
2019-03-31,31
2019-04-07,36
2019-04-14,30
2019-04-21,29
2019-04-28,36
2019-05-05,36
2019-05-12,31
2019-05-19,22
2019-05-26,21
2019-06-02,25
2019-06-09,25
2019-06-16,24
2019-06-23,24
2019-06-30,25
2019-07-07,20
2019-07-14,25
2019-07-21,21
2019-07-28,26
2019-08-04,29
2019-08-11,29
2019-08-18,41
2019-08-25,38
2019-09-01,31
2019-09-08,45
2019-09-15,43
2019-09-22,41
2019-09-29,42
2019-10-06,46
2019-10-13,38
2019-10-20,35
2019-10-27,38
2019-11-03,34
2019-11-10,37
2019-11-17,35
2019-11-24,22
2019-12-01,35
2019-12-08,34
2019-12-15,26
2019-12-22,13
2019-12-29,15
2020-01-05,26
2020-01-12,33
2020-01-19,31
2020-01-26,36
2020-02-02,40
2020-02-09,40
2020-02-16,37
2020-02-23,34
2020-03-01,34
2020-03-08,51
2020-03-15,100
2020-03-22,74
2020-03-29,79
2020-04-05,66
2020-04-12,58
2020-04-19,48
2020-04-26,49
2020-05-03,40
2020-05-10,39
2020-05-17,41
2020-05-24,31
2020-05-31,29
2020-06-07,29
2020-06-14,32
2020-06-21,32
2020-06-28,30
2020-07-05,28
2020-07-12,38
2020-07-19,41
2020-07-26,39
2020-08-02,46
2020-08-09,42
2020-08-16,57
2020-08-23,52
2020-08-30,60
2020-09-06,51
2020-09-13,49
2020-09-20,40
2020-09-27,34
2020-10-04,46
2020-10-11,37
2020-10-18,37
2020-10-25,38
2020-11-01,28
2020-11-08,38
2020-11-15,34
2020-11-22,25
2020-11-29,31
2020-12-06,37
2020-12-13,29
2020-12-20,16
2020-12-27,15
2021-01-03,22
2021-01-10,30
2021-01-17,32
2021-01-24,40
2021-01-31,31
2021-02-07,31
2021-02-14,30
2021-02-21,34
2021-02-28,32
2021-03-07,31
2021-03-14,25
2021-03-21,27
2021-03-28,31
2021-04-04,31
2021-04-11,33
2021-04-18,33
2021-04-25,26
2021-05-02,30
2021-05-09,31
2021-05-16,25
2021-05-23,25
2021-05-30,25
2021-06-06,21
2021-06-13,22
2021-06-20,24
2021-06-27,22
2021-07-04,22
2021-07-11,23
2021-07-18,19
2021-07-25,22
2021-08-01,26
2021-08-08,22
2021-08-15,29
2021-08-22,38
2021-08-29,38
2021-09-05,36
2021-09-12,46
2021-09-19,41
