;
states;3 982
Alabama;62
Alaska ;8
Arizona;68
Arkansas ;54
California ;416
Colorado ;67
Connecticut;40
Delaware ;8
District of Columbia;18
Florida;176
Georgia;113
Hawaii ;17
Idaho;15
Illinois ;156
Indiana;74
Iowa ;56
Kansas ;63
Kentucky ;59
Louisiana ;56
Maine ;30
Maryland;52
Massachusetts;107
Michigan ;92
Minnesota;84
Mississippi;34
Missouri;97
Montana;23
Nebraska ;36
Nevada ;22
New Hampshire ;24
New Jersey ;86
New Mexico ;39
New York ;299
North Carolina ;135
North Dakota;20
Ohio ;162
Oklahoma ;51
Oregon ;54
Pennsylvania;218
Rhode Island ;14
South Carolina ;66
South Dakota ;22
Tennessee;86
Texas ;244
Utah ;30
Vermont;19
Virginia ;111
Washington ;74
West Virginia ;42
Wisconsin;69
Wyoming ;9
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
